pais,prioridade,qtd_vendas
Norway,Alto,22
Norway,Baixo,1
Norway,Critico,3
Norway,Medio,44
Pakistan,Alto,104
Pakistan,Baixo,13
Pakistan,Critico,11
Pakistan,Medio,121
Panama,Alto,113
Panama,Baixo,15
Panama,Critico,27
Panama,Medio,233
Papua New Guinea,Alto,10
Papua New Guinea,Critico,2
Papua New Guinea,Medio,10
Paraguay,Alto,6
Paraguay,Critico,2
Paraguay,Medio,4
Peru,Alto,39
Peru,Baixo,6
Peru,Critico,20
Peru,Medio,97
Philippines,Alto,192
Philippines,Baixo,43
Philippines,Critico,27
Philippines,Medio,419
Poland,Alto,82
Poland,Baixo,19
Poland,Critico,12
Poland,Medio,139
Portugal,Alto,24
Portugal,Baixo,4
Portugal,Medio,42
Qatar,Alto,11
Qatar,Medio,5
Republic of the Congo,Alto,6
Romania,Alto,46
Romania,Baixo,3
Romania,Critico,13
Romania,Medio,111
Russia,Alto,143
Russia,Baixo,14
Russia,Critico,37
Russia,Medio,190
Rwanda,Alto,10
Rwanda,Baixo,1
Rwanda,Medio,25
Saudi Arabia,Alto,94
Saudi Arabia,Baixo,36
Saudi Arabia,Critico,26
Saudi Arabia,Medio,205
Senegal,Alto,26
Senegal,Baixo,5
Senegal,Critico,21
Senegal,Medio,60
Sierra Leone,Alto,3
Sierra Leone,Medio,12
Singapore,Alto,43
Singapore,Critico,14
Singapore,Medio,84
Slovakia,Alto,4
Slovakia,Critico,3
Slovakia,Medio,1
Slovenia,Alto,2
Slovenia,Baixo,1
Somalia,Alto,19
Somalia,Baixo,5
Somalia,Critico,1
Somalia,Medio,27
South Africa,Alto,147
South Africa,Baixo,23
South Africa,Critico,48
South Africa,Medio,243
South Korea,Alto,48
South Korea,Baixo,10
South Korea,Critico,23
South Korea,Medio,91
South Sudan,Baixo,1
South Sudan,Medio,1
Spain,Alto,252
Spain,Baixo,33
Spain,Critico,87
Spain,Medio,487
Sri Lanka,Critico,1
Sri Lanka,Medio,6
Sudan,Alto,5
Sudan,Baixo,13
Sudan,Critico,6
Sudan,Medio,68
Swaziland,Alto,1
Swaziland,Medio,1
Sweden,Alto,47
Sweden,Baixo,14
Sweden,Critico,14
Sweden,Medio,128
Switzerland,Alto,20
Switzerland,Baixo,5
Switzerland,Critico,4
Switzerland,Medio,49
Syria,Alto,15
Syria,Baixo,2
Syria,Medio,12
Taiwan,Alto,2
Taiwan,Baixo,1
Taiwan,Critico,8
Taiwan,Medio,3
Tajikistan,Medio,3
Tanzania,Alto,42
Tanzania,Baixo,1
Tanzania,Critico,21
Tanzania,Medio,84
Thailand,Alto,65
Thailand,Baixo,13
Thailand,Critico,9
Thailand,Medio,208
Togo,Alto,1
Togo,Critico,3
Togo,Medio,40
Trinidad and Tobago,Alto,9
Trinidad and Tobago,Baixo,3
Trinidad and Tobago,Medio,18
Tunisia,Alto,6
Tunisia,Medio,7
Turkey,Alto,386
Turkey,Baixo,66
Turkey,Critico,96
Turkey,Medio,830
Turkmenistan,Alto,10
Turkmenistan,Critico,5
Turkmenistan,Medio,10
Uganda,Alto,12
Uganda,Baixo,6
Uganda,Critico,2
Uganda,Medio,17
Ukraine,Alto,92
Ukraine,Baixo,16
Ukraine,Critico,41
Ukraine,Medio,232
United Arab Emirates,Alto,4
United Arab Emirates,Critico,1
United Arab Emirates,Medio,9
United Kingdom,Alto,501
United Kingdom,Baixo,115
United Kingdom,Critico,117
United Kingdom,Medio,900
United States,Alto,3069
United States,Baixo,432
United States,Critico,783
United States,Medio,5710
Uruguay,Alto,4
Uruguay,Medio,20
Uzbekistan,Alto,3
Uzbekistan,Baixo,7
Uzbekistan,Critico,13
Uzbekistan,Medio,25
Venezuela,Alto,48
Venezuela,Baixo,3
Venezuela,Critico,18
Venezuela,Medio,125
Vietnam,Alto,84
Vietnam,Baixo,7
Vietnam,Critico,14
Vietnam,Medio,160
Yemen,Alto,7
Yemen,Critico,6
Yemen,Medio,17
Zambia,Alto,24
Zambia,Baixo,6
Zambia,Critico,19
Zambia,Medio,53
Zimbabwe,Alto,33
Zimbabwe,Baixo,6
Zimbabwe,Critico,6
Zimbabwe,Medio,35
